	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
627	Mobula munkiana						NT													VU				
628	Mobula tarapacana						DD										VU			EN				
629	Mobula thurstoni						NT										NT			EN				
630	Mollisquama parini				DD																			
631	Mustelus albipinnis									DD														
632	Mustelus antarcticus			LC													LC							
633	Mustelus asterias									LC														
634	Mustelus californicus									LC						LC								
635	Mustelus canis									NT														
636	Mustelus dorsalis				DD																			
637	Mustelus fasciatus				CR																			
638	Mustelus griseus									DD														
639	Mustelus henlei									LC							LC							
640	Mustelus higmani						LC																	
641	Mustelus lenticulatus			LC															LC					
642	Mustelus lunulatus									LC							LC							
643	Mustelus manazo									DD														
644	Mustelus mento							NT																
645	Mustelus minicanis						DD																	
646	Mustelus mosis									DD										NT				
647	Mustelus mustelus									VU														
648	Mustelus norrisi									DD														
649	Mustelus palumbes						DD																	
650	Mustelus punctulatus									DD														
651	Mustelus ravidus			LC								LC								LC				
652	Mustelus schmitti						EN																	
653	Mustelus sinusmexicanus						DD																	
654	Mustelus stevensi			LC								LC								LC				
655	Mustelus walkeri											DD					DD							
656	Mustelus whitneyi							VU																
657	Mustelus widodoi									DD														
658	Myliobatis aquila									DD														
659	Myliobatis californicus						LC									LC								
660	Myliobatis chilensis						DD																	
661	Myliobatis freminvillii									DD														
662	Myliobatis goodei									DD														
663	Myliobatis hamlyni						EN										NT							
664	Myliobatis longirostris						NT																	
665	Myliobatis peruvianus						DD																	
666	Myliobatis tenuicaudatus																LC							
667	Myliobatis tobijei									DD														
668	Narcine atzi									DD														
669	Narcine bancroftii							CR												LC				
670	Narcine brasiliensis							DD																
671	Narcine brevilabiata						VU																	
672	Narcine entemedor									DD														
673	Narcine insolita									DD										DD				
674	Narcine lasti									LC						LC								
675	Narcine leoparda							NT																
676	Narcine lingula									DD														
677	Narcine maculata									DD														
678	Narcine nelsoni											LC				LC								
679	Narcine oculifera									DD			DD					DD						
680	Narcine ornata											LC				LC								
681	Narcine prodorsalis									DD														
682	Narcine rierai									DD										DD				
683	Narcine tasmaniensis									LC						LC								
684	Narcine timlei									DD														
685	Narcine vermiculatus									NT														
686	Narcine westraliensis									LC						LC								
687	Narke capensis									DD										LC				
688	Narke dipterygia									DD														
689	Narke japonica									VU														
690	Nasolamia velox									DD														
691	Nebrius ferrugineus			VU																				
692	Negaprion acutidens			EN																				
693	Negaprion brevirostris									NT						NT								
694	Neoharriotta carri						DD																	
695	Neoharriotta pinnata						DD																	
696	Neoharriotta pumila						DD											LC						
697	Neoraja africana									DD														
698	Neoraja caerulea									DD						LC								
699	Neoraja carolinensis									DD														
700	Neoraja iberica									DD						LC								
701	Neoraja stehmanni				DD															LC				
702	Neotrygon annotata						NT									NT								
703	Neotrygon kuhlii																		DD					
704	Neotrygon leylandi						NT					LC				LC								
705	Neotrygon ningalooensis											DD				DD								
706	Neotrygon picta											LC				LC								
707	Notoraja alisae																		LC					
708	Notoraja azurea											LC				LC								
709	Notoraja fijiensis																		LC					
710	Notoraja hirticauda									DD						DD								
711	Notoraja inusitata																		LC					
712	Notoraja lira											LC							DD					
713	Notoraja longiventralis																		LC					
714	Notoraja ochroderma									DD						DD								
715	Notoraja sapphira											DD							DD					
